SetSpeed, 8
SetProjectile, 1
Spawn, 1 1 1 0 0 1 1 1
Spawn, 1 1 1 0 0 1 1 1
Spawn, 1 1 1 0 0 1 1 1
Spawn, 1 1 1 0 0 1 1 1
Spawn, 1 1 1 0 0 1 1 1
Spawn, 1 1 1 0 0 1 1 1
Pause, 7
Spawn, 0 0 1 1 1 1 1 1
Spawn, 0 0 1 1 1 1 1 1
Spawn, 0 0 1 1 1 1 1 1
Spawn, 0 0 1 1 1 1 1 1
Spawn, 0 0 1 1 1 1 1 1
Spawn, 0 0 1 1 1 1 1 1
Pause, 7
Spawn, 1 1 1 1 1 1 0 0
Spawn, 1 1 1 1 1 1 0 0
Spawn, 1 1 1 1 1 1 0 0
Spawn, 1 1 1 1 1 1 0 0
Spawn, 1 1 1 1 1 1 0 0
Spawn, 1 1 1 1 1 1 0 0
Pause, 7
Spawn, 1 1 1 0 0 1 1 1
Spawn, 1 1 1 0 0 1 1 1
Spawn, 1 1 1 0 0 1 1 1
Spawn, 1 1 1 0 0 1 1 1
Spawn, 1 1 1 0 0 1 1 1
Spawn, 1 1 1 0 0 1 1 1
Pause, 16
