SetSpeed, 14
SetProjectile, 1
Spawn, 1 1 1 1 1 1 3 1
Spawn, 1 1 1 1 1 1 1 1
Spawn, 1 1 1 1 1 1 1 1
Spawn, 1 1 1 1 1 1 1 1
Spawn, 1 1 1 1 1 1 1 1
Spawn, 1 1 1 1 1 1 1 1
Spawn, 1 1 1 1 1 1 1 1
Spawn, 3 1 1 1 1 1 1 1
Spawn, 1 1 1 1 1 1 1 1
Spawn, 1 1 1 1 1 1 1 1
Spawn, 1 1 1 1 1 1 1 1
Spawn, 1 1 1 1 1 1 1 1
Spawn, 1 1 1 1 1 1 1 1
Spawn, 1 1 1 1 1 1 1 1
Spawn, 1 1 1 1 1 1 1 3
Spawn, 1 1 1 1 1 1 1 1
Spawn, 1 1 1 1 1 1 1 1
Spawn, 1 1 1 1 1 1 1 1
Spawn, 1 1 1 1 1 1 1 1
Spawn, 1 1 1 1 1 1 1 1
Spawn, 1 1 1 1 1 1 1 1
Spawn, 3 1 1 1 1 1 1 1
Spawn, 1 1 1 1 1 1 1 1
Spawn, 1 1 1 1 1 1 1 1
Spawn, 1 1 1 1 1 1 1 1
Spawn, 1 1 1 1 1 1 1 1
Spawn, 1 1 1 1 1 1 1 1
Spawn, 1 1 1 1 1 1 1 1
Spawn, 1 1 1 1 1 1 1 3
Spawn, 1 1 1 1 1 1 1 1
Spawn, 1 1 1 1 1 1 1 1
Spawn, 1 1 1 1 1 1 1 1
Spawn, 1 1 1 1 1 1 1 1
Spawn, 1 1 1 1 1 1 1 1
Spawn, 1 1 1 1 1 1 1 1
Spawn, 1 1 1 1 1 1 1 1
Spawn, 1 1 1 1 1 1 1 1
Spawn, 1 1 1 1 1 1 1 1
Spawn, 1 1 1 1 1 1 1 1
Spawn, 1 1 1 1 1 1 1 1
Spawn, 1 1 1 1 1 1 1 1
Pause, 16
