SetSpeed, 12
SetProjectile, 1
Spawn, 1 0 0 0 0 0 0 1
Spawn, 1 1 0 0 0 0 0 1
Spawn, 1 1 1 0 0 0 0 1
Spawn, 1 1 1 1 0 0 0 1
Spawn, 1 1 1 1 1 0 0 1
Spawn, 1 1 1 1 1 0 0 1
Pause, 7
Spawn, 1 0 0 0 0 0 0 1
Spawn, 1 0 0 0 0 0 1 1
Spawn, 1 0 0 0 0 1 1 1
Spawn, 1 0 0 0 1 1 1 1
Spawn, 1 0 0 1 1 1 1 1
Spawn, 1 0 0 1 1 1 1 1
Pause, 7
Spawn, 1 0 0 0 1 1 1 1
Spawn, 1 0 0 0 1 1 1 1
Spawn, 1 0 0 0 0 1 1 1
Spawn, 1 0 0 0 0 1 1 1
Spawn, 1 1 0 0 0 1 1 1
Spawn, 1 1 0 0 0 1 1 1
Pause, 7
Spawn, 1 1 1 1 0 0 0 1
Spawn, 1 1 1 1 0 0 0 1
Spawn, 1 1 1 0 0 0 0 1
Spawn, 1 1 1 0 0 0 0 1
Spawn, 1 1 1 0 0 0 1 1
Spawn, 1 1 1 0 0 0 1 1
Pause, 7
Spawn, 1 1 1 3 1 1 1 1
Spawn, 1 1 1 1 1 1 1 1
Spawn, 1 1 1 1 1 1 1 1
Spawn, 1 1 1 1 1 1 1 1
Spawn, 1 1 1 1 1 1 1 1
Spawn, 1 1 1 1 1 1 1 1
Spawn, 1 1 1 1 1 1 1 1
Spawn, 1 1 1 1 1 1 1 1
Spawn, 1 1 1 1 1 1 1 1
Spawn, 1 1 1 1 1 1 1 1
Spawn, 1 1 1 1 1 1 1 1
Spawn, 1 1 1 1 1 1 1 1
Spawn, 1 1 1 1 1 1 1 1
Spawn, 1 1 1 1 1 1 1 1
Spawn, 1 1 1 1 1 1 1 1
Spawn, 1 1 1 1 1 1 1 1
Spawn, 1 1 1 1 1 1 1 1
Spawn, 1 1 1 1 1 1 1 1
Spawn, 1 1 1 1 1 1 1 1
Spawn, 1 1 1 1 1 1 1 1
Spawn, 1 1 1 1 1 1 1 1
Spawn, 1 1 1 1 1 1 1 1
Spawn, 1 1 1 1 1 1 1 1
Pause, 12
